emotion_num,gender,intensity,statement,repitation,path,emotion,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1,male,1,1,1,ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-01-01.wav,neutral,-700.04803,58.141853,-2.5586066,15.606679,4.6350527,3.5391414,-6.117565,-0.3824482,-13.615901,-0.3625716,-1.508356,-0.8844002,-0.019431375,-1.9431808,-1.1695704,2.2041264,-5.30862,-0.80527276,-2.2019832,-0.21287873,-6.491991,-0.116633385,-2.5802991,-4.4166455,-1.6603618,-0.9539895,-4.6195717,-0.07780435,-1.7321765,-0.34443238,-1.482878,-2.7266295,-2.0602064,-2.5263202,-2.4850087,-2.2882392,-0.33125448,-2.5409374,-2.723592,-2.3176184
1,male,1,1,2,ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-02-01.wav,neutral,-695.1851,58.72073,-4.8757935,19.315145,5.6119604,2.971207,-4.3853626,-2.4032483,-14.377567,1.2576112,-1.603167,-0.36167064,-1.0886661,-1.3438927,-1.8727347,1.9826685,-5.9008408,0.23137887,-2.9789,1.4163179,-6.1801376,-0.30422062,-2.4289923,-4.4184947,-0.8147613,-1.5819021,-4.771959,1.1700106,-2.1047916,-0.10762914,-1.1224825,-3.063973,-1.7118422,-2.9297943,-2.5198088,-1.3286662,-0.7473587,-3.6443973,-2.6420183,-2.8815246
1,male,1,2,1,ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-01-01.wav,neutral,-693.6901,61.060158,-2.8490763,16.58725,2.4757419,3.980026,-4.803674,-2.7741344,-12.816862,-1.3138356,-1.6425294,-0.7880761,-0.056478187,-1.7009208,-3.5722902,2.2957795,-6.1905727,-2.019917,-0.83147055,0.84751123,-5.9624844,-0.5472873,-2.3049047,-3.118966,-1.4301326,-0.3052397,-4.1028886,-0.46674493,-1.9492196,-0.59109914,-1.4518621,-2.5401888,-1.9471494,-2.3866086,-2.2510247,-2.5161982,-0.5486758,-3.3002565,-2.9285083,-2.8335001
1,male,1,2,2,ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-02-01.wav,neutral,-687.24304,58.96541,-0.27530524,16.264652,4.040916,5.8489757,-4.3569236,-4.3022356,-12.883506,-0.8712498,-1.0777286,0.6024489,-1.3904735,-0.9739139,-2.7824948,3.2965004,-5.661504,-0.8976626,-1.0660452,0.20008177,-5.4759035,-1.3394004,-1.7360635,-2.396754,-2.2372904,-0.9264555,-4.143278,-0.1495985,-1.9812207,0.21101168,-2.1090176,-2.5497575,-2.4528837,-3.2371821,-2.7362702,-1.9837611,-0.40397877,-3.0163662,-2.839689,-3.9572291
2,male,1,1,1,ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-01-01.wav,calm,-729.57996,65.91619,-0.40742588,18.537952,4.73664,5.2257648,-6.456389,-0.7148107,-12.648291,-2.119253,-1.5633701,-0.7400905,-1.6387285,-1.2993121,-2.2045705,3.1792803,-6.862411,0.48692152,-2.2152781,-0.6931427,-5.3215375,-0.8028655,-3.085015,-4.0849257,-1.801239,-1.2252601,-4.6674423,1.1127504,-2.725163,0.13497785,-1.6094296,-1.7387109,-1.3255609,-3.0478787,-1.1141021,-1.0988084,-1.0921043,-2.4340827,-3.1356542,-3.4389791
2,male,1,1,2,ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-02-01.wav,calm,-709.6865,70.090385,-1.0689301,14.438874,6.5478773,4.157954,-7.413512,-1.82622,-11.025913,-2.2589307,-0.6329918,-0.16917107,-2.2294602,-1.6352786,-3.217169,2.5612886,-6.170143,-1.0867715,-1.6838093,-0.6989383,-5.1550922,-1.3700777,-2.8111882,-4.156491,-2.1026134,-1.4985523,-4.1796756,-0.035008233,-2.4440587,-0.27395052,-2.8189094,-2.9307575,-2.7351086,-4.1128235,-3.0386555,-1.986854,-1.3496951,-3.835365,-3.4986908,-4.8610144
2,male,1,2,1,ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-01-01.wav,calm,-699.9165,69.05924,-2.98459,17.488914,2.185755,6.562433,-4.885053,-1.3770629,-11.910106,-1.489853,-0.9043213,1.0506337,-1.0451858,-2.2500656,-0.56447554,1.956143,-7.912457,-1.2261852,-1.289127,-0.7030395,-6.723282,-0.83436215,-2.7882233,-2.9113312,-2.5287204,-0.9817057,-5.371491,0.7438408,-3.5842803,-0.44189736,-2.7380073,-2.2175715,-2.0335283,-3.6762097,-3.6211665,-2.6564775,-1.5188164,-2.9790657,-4.079129,-3.5605662
2,male,1,2,2,ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-02-01.wav,calm,-701.2548,72.46029,-2.626683,17.355131,4.750651,5.5525894,-3.980087,-2.5104337,-10.92657,-1.5176865,-1.6994507,0.8132311,-0.72650903,-1.4832095,-1.3036149,2.883426,-6.9538193,-0.56261766,-1.5556724,-0.114843346,-7.0732675,-0.93537915,-2.7697535,-1.7825688,-2.7026107,-0.6118186,-4.2538967,-0.016573003,-3.5553186,-0.2851262,-3.0568216,-2.207743,-1.7209591,-3.1632743,-2.9188337,-2.395059,-0.5909536,-2.9986186,-2.8504744,-3.9948616
2,male,2,1,1,ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-01-01.wav,calm,-737.1616,74.88166,-0.085661985,18.107159,5.129498,5.868424,-7.591034,0.83355343,-9.865348,-1.1512749,-1.110042,2.8614292,-2.8342922,-1.3606288,-2.024744,2.361805,-3.5719514,-1.140613,-1.6189792,2.03323,-7.8122826,0.58778083,-3.078335,-3.7097554,-1.9797417,-0.8637206,-3.0465248,0.6681052,-2.8046947,-0.3513011,-2.9205368,-3.5539715,-3.0878098,-2.8713543,-4.5110664,-0.35590824,-2.0319257,-3.309246,-3.9585876,-4.088398
2,male,2,1,2,ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-02-01.wav,calm,-700.8251,71.64476,-4.7149067,16.082222,2.795121,4.557083,-8.393302,-2.3456368,-11.432027,-1.5738155,-0.41185543,1.3983012,-3.7397115,-2.286449,-2.2605288,1.0399414,-5.6999497,-0.7803308,-1.9741524,0.74839336,-7.194042,0.7104507,-2.601641,-3.4220653,-2.4859872,-1.5924455,-4.407141,-0.17712618,-2.3359494,-1.1411586,-3.4238179,-3.0683718,-3.584335,-3.6017609,-4.5181394,-1.9208238,-1.3226941,-3.07345,-3.627471,-4.2502184
